pID,bID,bAdi,pAdi
8100,27017,BANU LAHYAN,Osman b. Affan
8100,27018,DHU QARAD,Osman b. Affan
8100,27019,Hayber,Osman b. Affan
8100,27020,Mûte,Osman b. Affan
8100,27021,Mekke Fethi,Osman b. Affan
8100,27022,Huneyn,Osman b. Affan
8100,27023,Taif,Osman b. Affan
8100,27024,Tebük,Osman b. Affan
8156,27006,Bedir,Osman b. Maz’ûn
8174,27006,Bedir,Sa'd b. Ebi Vakkâs
8174,27009,Uhud,Sa'd b. Ebi Vakkâs
8174,27015,Hendek,Sa'd b. Ebi Vakkâs
8173,27006,Bedir,Sa'd b. Hayseme
8139,27006,Bedir,Sa’d b. Muâz
8139,27009,Uhud,Sa’d b. Muâz
8139,27015,Hendek,Sa’d b. Muâz
8142,27015,Hendek,Safvân b. Muattal
8142,27037,Azerbaycan,Safvân b. Muattal
8120,27006,Bedir,Saîd b. Zeyd
8120,27009,Uhud,Saîd b. Zeyd
8120,27015,Hendek,Saîd b. Zeyd
8120,27021,Mekke Fethi,Saîd b. Zeyd
8120,27029,yermuk,Saîd b. Zeyd
8120,27042,Ecnâdeyn,Saîd b. Zeyd
8171,27006,Bedir,Sâlim b. Übeyd
8171,27009,Uhud,Sâlim b. Übeyd
8171,27015,Hendek,Sâlim b. Übeyd
8171,27040,yemame,Sâlim b. Übeyd
8108,27015,Hendek,Selmân-ı Fârisî
8108,27021,Mekke Fethi,Selmân-ı Fârisî
8103,27006,Bedir,Suheyb-i Rumî b. Sinân
8103,27009,Uhud,Suheyb-i Rumî b. Sinân
8103,27015,Hendek,Suheyb-i Rumî b. Sinân
8103,27024,Tebük,Suheyb-i Rumî b. Sinân
8103,27019,Hayber,Suheyb-i Rumî b. Sinân
8143,27019,Hayber,Şürahbil b. Hasene
8143,27040,yemame,Şürahbil b. Hasene
8143,27028,şam fethi,Şürahbil b. Hasene
8144,27006,Bedir,Talha b. Ubeydullah
8144,27007,Beni Kaynuka,Talha b. Ubeydullah
8144,27009,Uhud,Talha b. Ubeydullah
8144,27010,Hamrâülesed,Talha b. Ubeydullah
8144,27011,Benî Nadr,Talha b. Ubeydullah
8144,27012,Bedrü'l Mev'id,Talha b. Ubeydullah
8144,27013,Zatürrika,Talha b. Ubeydullah
8144,27014,Devmetü’l-Cendel,Talha b. Ubeydullah
8144,27015,Hendek,Talha b. Ubeydullah
8144,27016,Benî Kurayza,Talha b. Ubeydullah
8144,27019,Hayber,Talha b. Ubeydullah
8144,27020,Mûte,Talha b. Ubeydullah
8144,27021,Mekke Fethi,Talha b. Ubeydullah
8144,27022,Huneyn,Talha b. Ubeydullah
8144,27023,Taif,Talha b. Ubeydullah
8144,27024,Tebük,Talha b. Ubeydullah
8126,27030,misir fethi,Ubâde b. Sâmit
8126,27006,Bedir,Ubâde b. Sâmit
8126,27009,Uhud,Ubâde b. Sâmit
8126,27015,Hendek,Ubâde b. Sâmit
8166,27006,Bedir,Übey b. Kâ’b
8166,27009,Uhud,Übey b. Kâ’b
8166,27015,Hendek,Übey b. Kâ’b
8163,27006,Bedir,Ubeyde b. Hâris
